FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
190011601;SITE SPECIALISE HENRI LABORIT;19100;BRIVE LA GAILLARDE;Public;45.171255;1.537409
190012476;CH JEAN-MARIE DAUZIER - SSR - CORNIL;19150;CORNIL;Public;45.207798;1.691263
190013219;CH DUBOIS - SITE CH COEUR CORREZE;19012;TULLE;Public;45.267177;1.764073
190013235;CHU LIMOGES - SITE CH DUBOIS;19312;BRIVE LA GAILLARDE;Public;45.148038;1.517353
190013482;CH BRIVE - SAINT GERMAIN;19100;BRIVE LA GAILLARDE;Public;45.168024;1.538982
190013656;CEGIDD TULLE;19012;TULLE;Public;45.270405;1.770865
190014514;HDJ TULLE;19000;TULLE;Public;45.260624;1.755455
190014548;HDJ INTENSIF ENFANTS ADO - TULLE;19000;TULLE;Public;45.261046;1.750411
210006938;POLE DE BIOLOGIE  CHU DIJON;21000;DIJON;Public;47.323370;5.070165
210012464;LABORATOIRE  MÉDICAL;21110;THOREY EN PLAINE;Public;47.217602;5.134123
210013157;POLE PSYCHIATRIE SANTE MENTALE;21140;SEMUR EN AUXOIS;Public;47.474390;4.265888
210015087;LA MAISON DES FEMMES 21;21240;TALANT;Public;47.335099;5.011657
210015152;CMP CATTP IS SUR TILLE;21120;IS SUR TILLE;Public;47.516162;5.103073
210015160;CMP CATTP HJ BEAUREGARD DIJON;21000;DIJON;Public;47.318130;5.063948
210015210;UNITÉ CHU-CHARTREUSE;21000;DIJON;Public;47.321716;5.011112
210015228;CMP SITE CH HCO CHATILLON SUR SEINE;21400;CHATILLON SUR SEINE;Public;47.861858;4.559604
210015236;CMP SITE CH HCO SAULIEU;21210;SAULIEU;Public;47.281943;4.229349
210015244;CMP SITE CH HCO MONTBARD;21500;MONTBARD;Public;47.624494;4.340321
210982880;CENTRE ANTITUBERCULEUX ET VACCINATION;21079;DIJON;Public;47.331848;5.033601
210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;21000;DIJON;Public;47.318833;5.055568
210986840;USP LA MIRANDIERE;21801;QUETIGNY;Public;47.314360;5.109777
210987558;HOPITAL LE BOCAGE CHRU DIJON;21079;DIJON;Public;47.331848;5.033601
210987574;CH ARNAY LE DUC;21230;ARNAY LE DUC;Public;47.132060;4.485439
210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;21120;IS SUR TILLE;Public;47.519483;5.106813
210987590;CH NUITS SAINT GEORGES;21703;NUITS ST GEORGES;Public;47.142224;4.947478
210987608;CH HAUTE COTE D OR;21350;VITTEAUX;Public;47.396399;4.537870
210987616;CH SEURRE;21250;SEURRE;Public;46.995709;5.147566
210987640;CENTRE HOSPITALIER D'AUXONNE;21130;AUXONNE;Public;47.191993;5.384420
210987657;HOSPICES CIVILS DE BEAUNE;21203;BEAUNE;Public;47.132422;4.484392
210987665;CH HCO SITE DE CHATILLON SUR SEINE;21400;CHATILLON SUR SEINE;Public;47.861858;4.559604
210987673;CH HCO SITE DE MONTBARD;21500;MONTBARD;Public;47.624494;4.340321
210987681;CH HCO SITE DE SAULIEU;21210;SAULIEU;Public;47.281943;4.229349
210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;21140;SEMUR EN AUXOIS;Public;47.494265;4.346859
210987731;CLCC GEORGES-FRANCOIS LECLERC;21079;DIJON;ESPIC;47.331848;5.033601
220000012;CENTRE HOSPITALIER YVES LE FOLL;22023;ST BRIEUC;Public;48.492317;-2.751050
220000095;GHRE- SITE DINAN RENE PLEVEN;22101;DINAN;Public;48.446574;-2.053922
220000194;CHCB SITE PLEMET;22210;PLEMET;Public;48.171649;-2.596556
220000343;CENTRE HOSPITALIER GUINGAMP;22200;PABU;Public;48.565727;-3.145365
